ds,unique_id,y_pred
2023-03-01,BB,215554.2
2023-03-02,BB,248865.99
2023-03-03,BB,437830.32
2023-03-04,BB,407303.57
2023-03-05,BB,196099.41
2023-03-06,BB,164371.55
2023-03-07,BB,231420.91
2023-03-08,BB,267493.01
2023-03-09,BB,245128.61000000002
2023-03-10,BB,277778.19
2023-03-11,BB,406703.98
2023-03-12,BB,111798.0
2023-03-13,BB,296110.87
2023-03-14,BB,297393.47
2023-03-15,BB,447301.22
2023-03-16,BB,360118.91
2023-03-17,BB,539285.15
2023-03-18,BB,433411.73
2023-03-19,BB,157748.25
2023-03-20,BB,320981.78
2023-03-21,BB,247082.75
2023-03-22,BB,318381.06
2023-03-23,BB,358878.54
2023-03-24,BB,351044.01
2023-03-25,BB,359759.36
2023-03-26,BB,109525.7
2023-03-27,BB,403586.01
2023-03-28,BB,454118.31
2023-03-29,BB,419925.19
2023-03-30,BB,322600.84
2023-03-31,BB,458367.55
2023-04-01,BB,302117.2
2023-04-02,BB,142619.1
2023-04-03,BB,228746.63
2023-04-04,BB,312527.9
2023-04-05,BB,269669.5
2023-04-06,BB,301927.64
2023-04-07,BB,134438.3
2023-04-08,BB,375104.9
2023-04-09,BB,106647.3
2023-04-10,BB,203995.34
2023-04-11,BB,310917.92
2023-04-12,BB,283773.29
2023-04-13,BB,243327.25
2023-04-14,BB,270404.15
2023-04-15,BB,408312.44
2023-04-16,BB,100351.9
2023-04-17,BB,315110.65
2023-04-18,BB,398060.25
2023-04-19,BB,343376.36
2023-04-20,BB,399640.1
2023-04-21,BB,184220.25
2023-04-22,BB,341157.8
2023-04-23,BB,84472.6
2023-04-24,BB,397215.15
2023-04-25,BB,334271.75
2023-04-26,BB,437953.52
2023-04-27,BB,424589.07
2023-04-28,BB,423217.6
2023-04-29,BB,545298.4
2023-04-30,BB,253910.4
2023-05-01,BB,113889.1
2023-05-02,BB,260201.8
2023-05-03,BB,228291.4
2023-05-04,BB,293777.81
2023-05-05,BB,347342.13
2023-05-06,BB,418347.33
2023-05-07,BB,167656.6
2023-05-08,BB,318076.01
2023-05-09,BB,329443.66
2023-05-10,BB,328193.45
2023-05-11,BB,333696.44
2023-05-12,BB,569577.6
2023-05-13,BB,497045.57
2023-05-14,BB,88982.9
2023-05-15,BB,310472.0
2023-05-16,BB,261604.02
2023-05-17,BB,278808.64
2023-05-18,BB,271808.68
2023-05-19,BB,312102.19
2023-05-20,BB,315363.25
2023-05-21,BB,146062.0
2023-05-22,BB,283829.51
2023-05-23,BB,381885.1
2023-05-24,BB,308961.8
2023-05-25,BB,340099.41
2023-05-26,BB,523506.52
2023-05-27,BB,297331.67
2023-05-28,BB,110235.87
2023-05-29,BB,402580.57
2023-05-30,BB,337214.48
2023-05-31,BB,670070.81
2023-06-01,BB,298773.15
2023-06-02,BB,333181.7
2023-06-03,BB,321621.41
2023-06-04,BB,98429.0
2023-06-05,BB,287235.58
2023-06-06,BB,219268.45
2023-06-07,BB,242834.6
2023-06-08,BB,255829.7
2023-06-09,BB,401860.82
2023-06-10,BB,215800.61000000002
2023-06-11,BB,105894.2
2023-06-12,BB,339140.65
2023-06-13,BB,222292.76
2023-06-14,BB,171062.7
2023-06-15,BB,302378.6
2023-06-16,BB,345130.9
2023-06-17,BB,247061.5
2023-06-18,BB,112890.0
2023-06-19,BB,798898.12
2023-06-20,BB,729251.37
2023-06-21,BB,674166.17
2023-06-22,BB,527989.75
2023-06-23,BB,492868.34
2023-06-24,BB,593679.28
2023-06-25,BB,159387.84
2023-06-26,BB,363993.98
2023-06-27,BB,316213.63
2023-06-28,BB,482346.29
2023-06-29,BB,482192.09
2023-06-30,BB,539347.81
2023-07-01,BB,380756.45
2023-07-02,BB,163703.37
2023-07-03,BB,358505.73
2023-07-04,BB,338150.0
2023-07-05,BB,271722.07
2023-07-06,BB,359780.23
2023-07-07,BB,329235.14
2023-07-08,BB,293815.31
2023-07-09,BB,151606.72
2023-07-10,BB,258336.18
2023-07-11,BB,345239.64
2023-07-12,BB,244908.78
2023-07-13,BB,383793.96
2023-07-14,BB,368736.32
2023-07-15,BB,311492.97
2023-07-16,BB,126210.85
2023-07-17,BB,266428.7
2023-07-18,BB,429392.38
2023-07-19,BB,301558.43
2023-07-20,BB,397536.63
2023-07-21,BB,297216.77999999997
2023-07-22,BB,272762.02
2023-07-23,BB,112530.59
2023-07-24,BB,269935.45
2023-07-25,BB,346670.08
2023-07-26,BB,304160.39
2023-07-27,BB,392941.44
2023-07-28,BB,376531.17
2023-07-29,BB,341046.55
2023-07-30,BB,129875.44
2023-07-31,BB,471395.69
2023-08-01,BB,259962.08
2023-08-02,BB,196743.55
2023-08-03,BB,256293.21
2023-08-04,BB,289838.61
2023-08-05,BB,285274.9
2023-08-06,BB,69890.46
2023-08-07,BB,228723.68
2023-08-08,BB,229662.12
2023-08-09,BB,249948.04
2023-08-10,BB,298580.84
2023-08-11,BB,318380.45
2023-08-12,BB,295762.07
2023-08-13,BB,65156.88
2023-08-14,BB,244137.99
2023-08-15,BB,187635.26
2023-08-16,BB,237570.88
2023-08-17,BB,229317.12
2023-08-18,BB,308399.4
2023-08-19,BB,398966.73
2023-08-20,BB,90747.02
2023-08-21,BB,342380.32
2023-08-22,BB,234385.44
2023-08-23,BB,412010.69
2023-08-24,BB,318921.88
2023-08-25,BB,401551.65
2023-08-26,BB,373913.25
2023-08-27,BB,117045.16
2023-08-28,BB,331967.49
2023-08-29,BB,263584.09
2023-08-30,BB,442143.11
2023-08-31,BB,519976.5
2023-09-01,BB,340691.15
2023-09-02,BB,276087.32
2023-09-03,BB,101952.67
2023-09-04,BB,280918.59
2023-09-05,BB,170146.27
2023-09-06,BB,253118.06
2023-09-07,BB,171749.12
2023-09-08,BB,240524.67
2023-09-09,BB,229460.35
2023-09-10,BB,117821.19
2023-09-11,BB,266334.63
2023-09-12,BB,293983.55
2023-09-13,BB,321114.45
2023-09-14,BB,265924.06
2023-09-15,BB,385123.16
2023-09-16,BB,382748.26
2023-09-17,BB,117234.01
2023-09-18,BB,276794.32
2023-09-19,BB,322874.09
2023-09-20,BB,242037.45
2023-09-21,BB,349098.39
2023-09-22,BB,377791.78
2023-09-23,BB,348067.79
2023-09-24,BB,125118.43
2023-09-25,BB,238748.82
2023-09-26,BB,328344.54
2023-09-27,BB,319822.85
2023-09-28,BB,316779.12
2023-09-29,BB,405274.73
2023-09-30,BB,470660.68
2023-10-01,BB,79562.45
2023-10-02,BB,227989.28
2023-10-03,BB,224194.82
2023-10-04,BB,268651.02
2023-10-05,BB,249800.09
2023-10-06,BB,249541.22
2023-10-07,BB,212016.26
2023-10-08,BB,136923.33
2023-10-09,BB,217202.32
2023-10-10,BB,262129.09
2023-10-11,BB,243320.69
2023-10-12,BB,169827.8
2023-10-13,BB,311809.5
2023-10-14,BB,237675.34
2023-10-15,BB,189964.6
2023-10-16,BB,166016.27
2023-10-17,BB,213186.39
2023-10-18,BB,313765.41
2023-10-19,BB,259576.51
2023-10-20,BB,438556.05
2023-10-21,BB,333033.9
2023-10-22,BB,109014.63
2023-10-23,BB,219372.23
2023-10-24,BB,269861.85
2023-10-25,BB,394625.56
2023-10-26,BB,258599.8
2023-10-27,BB,295494.29
2023-10-28,BB,342167.55
2023-10-29,BB,134637.88
2023-10-30,BB,247062.47
2023-10-31,BB,550410.92
2023-10-31,BB,550410.92
2023-11-01,BB,277831.72
2023-11-02,BB,214291.27
2023-11-03,BB,328261.42
2023-11-04,BB,376059.72
2023-11-05,BB,141766.92
2023-11-06,BB,280318.35
2023-11-07,BB,255815.35
2023-11-08,BB,378338.49
2023-11-09,BB,319005.03
2023-11-10,BB,404524.59
2023-11-11,BB,396368.07
2023-11-12,BB,212110.73
2023-11-13,BB,281277.69
2023-11-14,BB,316857.32
2023-11-15,BB,393016.8
2023-11-16,BB,482550.86
2023-11-17,BB,466278.72
2023-11-18,BB,298786.71
2023-11-19,BB,140568.48
2023-11-20,BB,294599.45
2023-11-21,BB,323516.88
2023-11-22,BB,502778.35
2023-11-23,BB,501655.28
2023-11-24,BB,588215.52
2023-11-25,BB,620998.68
2023-11-26,BB,189725.8
2023-11-27,BB,455202.16
2023-11-28,BB,332705.1
2023-11-29,BB,422743.56
2023-11-30,BB,536220.55
2023-12-01,BB,241542.54
2023-12-02,BB,269802.1
2023-12-03,BB,141768.81
2023-12-04,BB,233361.07
2023-12-05,BB,300563.11
2023-12-06,BB,296731.75
2023-12-07,BB,270572.13
2023-12-08,BB,383398.27
2023-12-09,BB,309116.19
2023-12-10,BB,249876.43
2023-12-11,BB,392495.82
2023-12-12,BB,367824.9
2023-12-13,BB,391111.46
2023-12-14,BB,403158.19
2023-12-15,BB,434585.58
2023-12-16,BB,438131.09
2023-12-17,BB,252274.08000000002
2023-12-18,BB,424979.43
2023-12-19,BB,324476.81
2023-12-20,BB,380588.45
2023-12-21,BB,507072.54
2023-12-22,BB,478465.83
2023-12-23,BB,445590.39
2023-12-24,BB,177424.24
2023-12-25,BB,0.0
2023-12-26,BB,232513.62
2023-12-27,BB,255967.74
2023-12-28,BB,255195.63
2023-12-29,BB,140881.0
2023-12-30,BB,236360.19
2023-12-31,BB,77338.44
2024-01-01,BB,0.0
2024-01-02,BB,101947.29
2024-01-03,BB,99753.79
2024-01-04,BB,804394.34
2024-01-05,BB,763292.09
2024-01-06,BB,515264.16
2024-01-07,BB,171528.91
2024-01-08,BB,352062.64
2024-01-09,BB,388323.32
2024-01-10,BB,332418.82
2024-01-11,BB,373238.52
2024-01-12,BB,289952.44
2024-01-13,BB,368889.67
2024-01-14,BB,139921.36
2024-01-15,BB,281130.8
2024-01-16,BB,433265.98
2024-01-17,BB,443108.7
2024-01-18,BB,383405.17
2024-01-19,BB,350714.42
2024-01-20,BB,278957.77
2024-01-21,BB,94592.94
2024-01-22,BB,255535.09
2024-01-23,BB,282875.65
2024-01-24,BB,333096.09
2024-01-25,BB,268685.47
2024-01-26,BB,359960.94
2024-01-27,BB,291012.68
2024-01-28,BB,96535.33
2024-01-29,BB,292031.02
2024-01-30,BB,282387.38
2024-01-31,BB,462740.57
2024-02-01,BB,207069.66
2024-02-02,BB,240012.05
2024-02-03,BB,184290.37
2024-02-04,BB,74291.64
2024-02-05,BB,375992.47
2024-02-06,BB,322744.56
2024-02-07,BB,415714.39
2024-02-08,BB,434373.32
2024-02-09,BB,382282.27
2024-02-10,BB,257466.51
2024-02-11,BB,112241.67
2024-02-12,BB,132098.05
2024-02-13,BB,67923.24
2024-02-14,BB,217355.74
2024-02-15,BB,386249.81
2024-02-16,BB,266468.26
2024-02-17,BB,420133.64
2024-02-18,BB,147769.91
2024-02-19,BB,267386.44
2024-02-20,BB,280244.03
2024-02-21,BB,379492.36
2024-02-22,BB,228618.65
2024-02-23,BB,308807.43
2024-02-24,BB,275505.13
2024-02-25,BB,165315.38
2024-02-26,BB,295926.66
2024-02-27,BB,342471.48
2024-02-28,BB,417502.88
2024-03-01,BB,
2024-03-02,BB,
2024-03-03,BB,
2024-03-04,BB,
2024-03-05,BB,
2024-03-06,BB,
2024-03-07,BB,
2024-03-08,BB,
2024-03-09,BB,
2024-03-10,BB,
2024-03-11,BB,
2024-03-12,BB,
2024-03-13,BB,
2024-03-14,BB,
2024-03-15,BB,
2024-03-16,BB,
2024-03-17,BB,
2024-03-18,BB,
2024-03-19,BB,
2024-03-20,BB,
2024-03-21,BB,
2024-03-22,BB,
2024-03-23,BB,
2024-03-24,BB,
2024-03-25,BB,
2024-03-26,BB,
2024-03-27,BB,
2024-03-28,BB,
2024-03-29,BB,
2024-03-30,BB,
2024-03-31,BB,
2024-04-01,BB,
2024-04-02,BB,
2024-04-03,BB,
2024-04-04,BB,
2024-04-05,BB,
2024-04-06,BB,
2024-04-07,BB,
2024-04-08,BB,
2024-04-09,BB,
2024-04-10,BB,
2024-04-11,BB,
2024-04-12,BB,
2024-04-13,BB,
2024-04-14,BB,
2024-04-15,BB,
2024-04-16,BB,
2024-04-17,BB,
2024-04-18,BB,
2024-04-19,BB,
2024-04-20,BB,
2024-04-21,BB,
2024-04-22,BB,
2024-04-23,BB,
2024-04-24,BB,
2024-04-25,BB,
2024-04-26,BB,
2024-04-27,BB,
2024-04-28,BB,
2024-04-29,BB,
2024-04-30,BB,
2024-05-01,BB,
2024-05-02,BB,
2024-05-03,BB,
2024-05-04,BB,
2024-05-05,BB,
2024-05-06,BB,
2024-05-07,BB,
2024-05-08,BB,
2024-05-09,BB,
2024-05-10,BB,
2024-05-11,BB,
2024-05-12,BB,
2024-05-13,BB,
2024-05-14,BB,
2024-05-15,BB,
2024-05-16,BB,
2024-05-17,BB,
2024-05-18,BB,
2024-05-19,BB,
2024-05-20,BB,
2024-05-21,BB,
2024-05-22,BB,
2024-05-23,BB,
2024-05-24,BB,
2024-05-25,BB,
2024-05-26,BB,
2024-05-27,BB,
2024-05-28,BB,
2024-05-29,BB,
2024-05-30,BB,
2024-05-31,BB,
2024-06-01,BB,
2024-06-02,BB,
2024-06-03,BB,
2024-06-04,BB,
2024-06-05,BB,
2024-06-06,BB,
2024-06-07,BB,
2024-06-08,BB,
2024-06-09,BB,
2024-06-10,BB,
2024-06-11,BB,
2024-06-12,BB,
2024-06-13,BB,
2024-06-14,BB,
2024-06-15,BB,
2024-06-16,BB,
2024-06-17,BB,
2024-06-18,BB,
2024-06-19,BB,
2024-06-20,BB,
2024-06-21,BB,
2024-06-22,BB,
2024-06-23,BB,
2024-06-24,BB,
2024-06-25,BB,
2024-06-26,BB,
2024-06-27,BB,
2024-06-28,BB,
2024-06-29,BB,
2024-06-30,BB,
2024-07-01,BB,
2024-07-02,BB,
2024-07-03,BB,
2024-07-04,BB,
2024-07-05,BB,
2024-07-06,BB,
2024-07-07,BB,
2024-07-08,BB,
2024-07-09,BB,
2024-07-10,BB,
2024-07-11,BB,
2024-07-12,BB,
2024-07-13,BB,
2024-07-14,BB,
2024-07-15,BB,
2024-07-16,BB,
2024-07-17,BB,
2024-07-18,BB,
2024-07-19,BB,
2024-07-20,BB,
2024-07-21,BB,
2024-07-22,BB,
2024-07-23,BB,
2024-07-24,BB,
2024-07-25,BB,
2024-07-26,BB,
2024-07-27,BB,
2024-07-28,BB,
2024-07-29,BB,
2024-07-30,BB,
2024-07-31,BB,
2024-08-01,BB,
2024-08-02,BB,
2024-08-03,BB,
2024-08-04,BB,
2024-08-05,BB,
2024-08-06,BB,
2024-08-07,BB,
2024-08-08,BB,
2024-08-09,BB,
2024-08-10,BB,
2024-08-11,BB,
2024-08-12,BB,
2024-08-13,BB,
2024-08-14,BB,
2024-08-15,BB,
2024-08-16,BB,
2024-08-17,BB,
2024-08-18,BB,
2024-08-19,BB,
2024-08-20,BB,
2024-08-21,BB,
2024-08-22,BB,
2024-08-23,BB,
2024-08-24,BB,
2024-08-25,BB,
2024-08-26,BB,
2024-08-27,BB,
2024-08-28,BB,
2024-08-29,BB,
2024-08-30,BB,
2024-08-31,BB,
2024-09-01,BB,
2024-09-02,BB,
2024-09-03,BB,
2024-09-04,BB,
2024-09-05,BB,
2024-09-06,BB,
2024-09-07,BB,
2024-09-08,BB,
2024-09-09,BB,
2024-09-10,BB,
2024-09-11,BB,
2024-09-12,BB,
2024-09-13,BB,
2024-09-14,BB,
2024-09-15,BB,
2024-09-16,BB,
2024-09-17,BB,
2024-09-18,BB,
2024-09-19,BB,
2024-09-20,BB,
2024-09-21,BB,
2024-09-22,BB,
2024-09-23,BB,
2024-09-24,BB,
2024-09-25,BB,
2024-09-26,BB,
2024-09-27,BB,
2024-09-28,BB,
2024-09-29,BB,
2024-09-30,BB,
2024-10-01,BB,
2024-10-02,BB,
2024-10-03,BB,
2024-10-04,BB,
2024-10-05,BB,
2024-10-06,BB,
2024-10-07,BB,
2024-10-08,BB,
2024-10-09,BB,
2024-10-10,BB,
2024-10-11,BB,
2024-10-12,BB,
2024-10-13,BB,
2024-10-14,BB,
2024-10-15,BB,
2024-10-16,BB,
2024-10-17,BB,
2024-10-18,BB,
2024-10-19,BB,
2024-10-20,BB,
2024-10-21,BB,
2024-10-22,BB,
2024-10-23,BB,
2024-10-24,BB,
2024-10-25,BB,
2024-10-26,BB,
2024-10-27,BB,
2024-10-28,BB,
2024-10-29,BB,
2024-10-30,BB,
2024-10-31,BB,
2024-11-01,BB,
2024-11-02,BB,
2024-11-03,BB,
2024-11-04,BB,
2024-11-05,BB,
2024-11-06,BB,
2024-11-07,BB,
2024-11-08,BB,
2024-11-09,BB,
2024-11-10,BB,
2024-11-11,BB,
2024-11-12,BB,
2024-11-13,BB,
2024-11-14,BB,
2024-11-15,BB,
2024-11-16,BB,
2024-11-17,BB,
2024-11-18,BB,
2024-11-19,BB,
2024-11-20,BB,
2024-11-21,BB,
2024-11-22,BB,
2024-11-23,BB,
2024-11-24,BB,
2024-11-25,BB,
2024-11-26,BB,
2024-11-27,BB,
2024-11-28,BB,
2024-11-29,BB,
2024-11-30,BB,
2024-12-01,BB,
2024-12-02,BB,
2024-12-03,BB,
2024-12-04,BB,
2024-12-05,BB,
2024-12-06,BB,
2024-12-07,BB,
2024-12-08,BB,
2024-12-09,BB,
2024-12-10,BB,
2024-12-11,BB,
2024-12-12,BB,
2024-12-13,BB,
2024-12-14,BB,
2024-12-15,BB,
2024-12-16,BB,
2024-12-17,BB,
2024-12-18,BB,
2024-12-19,BB,
2024-12-20,BB,
2024-12-21,BB,
2024-12-22,BB,
2024-12-23,BB,
2024-12-24,BB,
2024-12-25,BB,
2024-12-26,BB,
2024-12-27,BB,
2024-12-28,BB,
2024-12-29,BB,
2024-12-30,BB,
2024-12-31,BB,
2025-01-01,BB,
2025-01-02,BB,
2025-01-03,BB,
2025-01-04,BB,
2025-01-05,BB,
2025-01-06,BB,
2025-01-07,BB,
2025-01-08,BB,
2025-01-09,BB,
2025-01-10,BB,
2025-01-11,BB,
2025-01-12,BB,
2025-01-13,BB,
2025-01-14,BB,
2025-01-15,BB,
2025-01-16,BB,
2025-01-17,BB,
2025-01-18,BB,
2025-01-19,BB,
2025-01-20,BB,
2025-01-21,BB,
2025-01-22,BB,
2025-01-23,BB,
2025-01-24,BB,
2025-01-25,BB,
2025-01-26,BB,
2025-01-27,BB,
2025-01-28,BB,
2025-01-29,BB,
2025-01-30,BB,
2025-01-31,BB,
2025-02-01,BB,
2025-02-02,BB,
2025-02-03,BB,
2025-02-04,BB,
2025-02-05,BB,
2025-02-06,BB,
2025-02-07,BB,
2025-02-08,BB,
2025-02-09,BB,
2025-02-10,BB,
2025-02-11,BB,
2025-02-12,BB,
2025-02-13,BB,
2025-02-14,BB,
2025-02-15,BB,
2025-02-16,BB,
2025-02-17,BB,
2025-02-18,BB,
2025-02-19,BB,
2025-02-20,BB,
2025-02-21,BB,
2025-02-22,BB,
2025-02-23,BB,
2025-02-24,BB,
2025-02-25,BB,
2025-02-26,BB,
2025-02-27,BB,
2025-02-28,BB,
