max_steps,learning_rate,batch_size,encoder_hidden_size,decoder_hidden_size,encoder_n_layers,decoder_layers,context_size,MAE,MSE,RMSE,MAPE
1,0.001,32,200,200,2,2,10,564887.7122802198,614738129593.624,784052.3768177889,251.56067774603744
1,0.001,32,200,200,2,2,20,578572.6725549451,630166826170.2036,793830.4769723846,94.20660589984796
1,0.001,32,200,200,2,3,10,609976.7185508241,705460433776.1062,839916.920758301,186.35150493015985
1,0.001,32,200,200,2,3,20,587782.0003640109,667123659723.2279,816776.3829367423,206.3921029327838
1,0.001,32,200,200,3,2,10,552792.676510989,589148148021.8096,767559.8660832975,239.6498046863199
1,0.001,32,200,200,3,2,20,578382.8488804945,610967874968.2755,781644.340456883,223.78906455674593
1,0.001,32,200,200,3,3,10,602344.8326923078,699060012749.9109,836098.0879956076,168.92024084629494
1,0.001,32,200,200,3,3,20,604887.3953846154,694365840373.19,833286.1695559275,212.1830014010952
1,0.001,32,200,300,2,2,10,551766.4169230768,583756546708.1115,764039.6237814578,262.37368911281965
1,0.001,32,200,300,2,2,20,581952.4062087913,638783598030.1167,799239.3871864153,189.25920313224697
1,0.001,32,200,300,2,3,10,628966.0360439561,745728462377.7888,863555.7089023202,152.35528063290937
1,0.001,32,200,300,2,3,20,610553.9924450549,695356308060.0721,833880.2720175554,155.54671665860985
1,0.001,32,200,300,3,2,10,584802.8052197802,654708231754.6904,809140.4277099806,189.72681830952536
1,0.001,32,200,300,3,2,20,588914.7602953297,643155533806.8438,801969.783599634,201.29704873785417
1,0.001,32,200,300,3,3,10,614598.2114285714,721951501476.5963,849677.2925508815,171.87965079450078
1,0.001,32,200,300,3,3,20,614951.7484752747,709462451727.104,842295.9407043963,152.67302788707252
1,0.001,32,300,200,2,2,10,573112.0495535714,638420831873.0542,799012.4103373202,228.95323024878184
1,0.001,32,300,200,2,2,20,549112.0210302197,584772432430.1039,764704.1469941848,169.13464487149054
1,0.001,32,300,200,2,3,10,609494.0839697802,707183304611.8319,840941.9151236499,163.48066051929447
1,0.001,32,300,200,2,3,20,606855.5049725275,702480981733.3922,838141.3852885396,138.2838284984763
1,0.001,32,300,200,3,2,10,541710.6979945055,583381465972.5604,763794.1253849498,295.33016905151476
1,0.001,32,300,200,3,2,20,597817.308489011,660515248159.5508,812720.8919177301,191.42719517243734
1,0.001,32,300,200,3,3,10,602534.8760851648,697844029011.4012,835370.5938153445,181.73681518425855
1,0.001,32,300,200,3,3,20,563858.596565934,618712772998.6588,786582.9727362898,209.55744776829252
1,0.001,32,300,300,2,2,10,608877.3113530219,692498874402.9087,832165.1725486405,189.66290245508927
1,0.001,32,300,300,2,2,20,588024.2001785715,637841715321.5791,798649.9329002533,162.479635349362
1,0.001,32,300,300,2,3,10,617140.7094574176,718068053237.7882,847388.9621878421,163.7685799903143
1,0.001,32,300,300,2,3,20,625702.1012362636,725491213709.0996,851757.72007602,160.92669079845513
1,0.001,32,300,300,3,2,10,578155.2619024725,655710885886.8562,809759.7704794034,191.5156330805564
1,0.001,32,300,300,3,2,20,596883.1624107143,680810968198.5294,825112.7003013161,135.8738765892103
1,0.001,32,300,300,3,3,10,620566.2167513736,717140333195.5038,846841.3860903963,173.89815314243043
1,0.001,32,300,300,3,3,20,604229.6642582418,688912061582.153,830007.2659815412,164.04989543465638
1,0.001,64,200,200,2,2,10,564887.7122802198,614738129593.624,784052.3768177889,251.56067774603744
1,0.001,64,200,200,2,2,20,578572.6725549451,630166826170.2036,793830.4769723846,94.20660589984796
1,0.001,64,200,200,2,3,10,609976.7185508241,705460433776.1062,839916.920758301,186.35150493015985
1,0.001,64,200,200,2,3,20,587782.0003640109,667123659723.2279,816776.3829367423,206.3921029327838
1,0.001,64,200,200,3,2,10,552792.676510989,589148148021.8096,767559.8660832975,239.6498046863199
1,0.001,64,200,200,3,2,20,578382.8488804945,610967874968.2755,781644.340456883,223.78906455674593
1,0.001,64,200,200,3,3,10,602344.8326923078,699060012749.9109,836098.0879956076,168.92024084629494
1,0.001,64,200,200,3,3,20,604887.3953846154,694365840373.19,833286.1695559275,212.1830014010952
1,0.001,64,200,300,2,2,10,551766.4169230768,583756546708.1115,764039.6237814578,262.37368911281965
1,0.001,64,200,300,2,2,20,581952.4062087913,638783598030.1167,799239.3871864153,189.25920313224697
1,0.001,64,200,300,2,3,10,628966.0360439561,745728462377.7888,863555.7089023202,152.35528063290937
1,0.001,64,200,300,2,3,20,610553.9924450549,695356308060.0721,833880.2720175554,155.54671665860985
1,0.001,64,200,300,3,2,10,584802.8052197802,654708231754.6904,809140.4277099806,189.72681830952536
1,0.001,64,200,300,3,2,20,588914.7602953297,643155533806.8438,801969.783599634,201.29704873785417
1,0.001,64,200,300,3,3,10,614598.2114285714,721951501476.5963,849677.2925508815,171.87965079450078
1,0.001,64,200,300,3,3,20,614951.7484752747,709462451727.104,842295.9407043963,152.67302788707252
1,0.001,64,300,200,2,2,10,573112.0495535714,638420831873.0542,799012.4103373202,228.95323024878184
1,0.001,64,300,200,2,2,20,549112.0210302197,584772432430.1039,764704.1469941848,169.13464487149054
1,0.001,64,300,200,2,3,10,609494.0839697802,707183304611.8319,840941.9151236499,163.48066051929447
1,0.001,64,300,200,2,3,20,606855.5049725275,702480981733.3922,838141.3852885396,138.2838284984763
1,0.001,64,300,200,3,2,10,541710.6979945055,583381465972.5604,763794.1253849498,295.33016905151476
1,0.001,64,300,200,3,2,20,597817.308489011,660515248159.5508,812720.8919177301,191.42719517243734
1,0.001,64,300,200,3,3,10,602534.8760851648,697844029011.4012,835370.5938153445,181.73681518425855
1,0.001,64,300,200,3,3,20,563858.596565934,618712772998.6588,786582.9727362898,209.55744776829252
1,0.001,64,300,300,2,2,10,608877.3113530219,692498874402.9087,832165.1725486405,189.66290245508927
1,0.001,64,300,300,2,2,20,588024.2001785715,637841715321.5791,798649.9329002533,162.479635349362
1,0.001,64,300,300,2,3,10,617140.7094574176,718068053237.7882,847388.9621878421,163.7685799903143
1,0.001,64,300,300,2,3,20,625702.1012362636,725491213709.0996,851757.72007602,160.92669079845513
1,0.001,64,300,300,3,2,10,578155.2619024725,655710885886.8562,809759.7704794034,191.5156330805564
1,0.001,64,300,300,3,2,20,596883.1624107143,680810968198.5294,825112.7003013161,135.8738765892103
1,0.001,64,300,300,3,3,10,620566.2167513736,717140333195.5038,846841.3860903963,173.89815314243043
1,0.001,64,300,300,3,3,20,604229.6642582418,688912061582.153,830007.2659815412,164.04989543465638
1,0.01,32,200,200,2,2,10,1059039.7854120878,1556886061688.7341,1247752.4040003826,65.90286851665718
1,0.01,32,200,200,2,2,20,839997.4392788463,1177175962954.4038,1084977.4020478048,111.69173623789436
1,0.01,32,200,200,2,3,10,2162965.897032967,5253185402689.71,2291982.8539257683,419.39556187350587
1,0.01,32,200,200,2,3,20,3160726.2730631866,10837956449090.45,3292105.1698101093,502.41403881039696
1,0.01,32,200,200,3,2,10,1257583.0114354396,1941743469624.7075,1393464.5562857734,83.10102932642022
1,0.01,32,200,200,3,2,20,933829.0968063185,1259416935788.9778,1122237.4685372869,122.45046526403031
1,0.01,32,200,200,3,3,10,1460861.688653846,2669054980152.314,1633724.2668676726,266.60322821547015
1,0.01,32,200,200,3,3,20,1200225.8785576923,1839967999637.0793,1356454.201083501,79.65397129116583
1,0.01,32,200,300,2,2,10,1484794.98853022,2601131471120.9897,1612802.3657971828,183.49382847993968
1,0.01,32,200,300,2,2,20,546120.6142376373,509459497954.9629,713764.315411581,140.96922185386978
1,0.01,32,200,300,2,3,10,4795959.201291209,25360652912467.89,5035936.150555117,988.8239416128076
1,0.01,32,200,300,2,3,20,6642432.197513736,47584829173397.484,6898175.785915975,1402.9959842886558
1,0.01,32,200,300,3,2,10,1002728.9046222528,1483570950798.8613,1218019.2735744624,66.75265892791337
1,0.01,32,200,300,3,2,20,1293161.8990041208,2348733887334.482,1532557.955620107,112.50528027429255
1,0.01,32,200,300,3,3,10,4455868.386043956,21545487532996.18,4641711.702916951,841.1957122311156
1,0.01,32,200,300,3,3,20,3915736.1815453297,17743002073833.848,4212244.303673974,679.0104760064955
1,0.01,32,300,200,2,2,10,1051017.0400755496,1654213964780.8647,1286162.4954805924,59.842797932216754
1,0.01,32,300,200,2,2,20,1417874.8312431318,2425068182297.8076,1557263.0421023315,292.61044046259485
1,0.01,32,300,200,2,3,10,1589705.0426304943,3038310723660.0933,1743075.0768857012,267.0366971317926
1,0.01,32,300,200,2,3,20,3006018.835906593,10203337053427.535,3194266.2777901804,567.9458583336528
1,0.01,32,300,200,3,2,10,956659.3667651099,1224344531697.5947,1106501.0310422645,58.66099529331944
1,0.01,32,300,200,3,2,20,816548.0817513736,1017705638766.8667,1008813.9762943744,56.51450326241423
1,0.01,32,300,200,3,3,10,2963626.7370054945,9733430228826.266,3119844.584082077,640.6039520260515
1,0.01,32,300,200,3,3,20,3840544.7256730767,15793660407974.17,3974123.854131143,662.7419709187114
1,0.01,32,300,300,2,2,10,1150149.1272046703,1881922677302.05,1371831.8691815152,107.74424128359522
1,0.01,32,300,300,2,2,20,1155285.9612637365,2140162517292.838,1462929.4300453586,83.03605483911728
1,0.01,32,300,300,2,3,10,5256585.326978022,30305746306648.164,5505065.513383848,1092.98844691893
1,0.01,32,300,300,2,3,20,4389619.600673077,20962939864744.918,4578530.317115408,779.6059826856196
1,0.01,32,300,300,3,2,10,1075027.8333241758,1817340097552.1455,1348087.5704315894,103.07661332166246
1,0.01,32,300,300,3,2,20,766055.9945604397,902874303907.1792,950196.9816344288,219.3610749662772
1,0.01,32,300,300,3,3,10,5490831.751085165,32744675919982.848,5722296.385192124,1041.020717282041
1,0.01,32,300,300,3,3,20,5532771.16385989,33645142254774.78,5800443.280885934,1209.459285115141
1,0.01,64,200,200,2,2,10,1059039.7854120878,1556886061688.7341,1247752.4040003826,65.90286851665718
1,0.01,64,200,200,2,2,20,839997.4392788463,1177175962954.4038,1084977.4020478048,111.69173623789436
1,0.01,64,200,200,2,3,10,2162965.897032967,5253185402689.71,2291982.8539257683,419.39556187350587
1,0.01,64,200,200,2,3,20,3160726.2730631866,10837956449090.45,3292105.1698101093,502.41403881039696
1,0.01,64,200,200,3,2,10,1257583.0114354396,1941743469624.7075,1393464.5562857734,83.10102932642022
1,0.01,64,200,200,3,2,20,933829.0968063185,1259416935788.9778,1122237.4685372869,122.45046526403031
1,0.01,64,200,200,3,3,10,1460861.688653846,2669054980152.314,1633724.2668676726,266.60322821547015
1,0.01,64,200,200,3,3,20,1200225.8785576923,1839967999637.0793,1356454.201083501,79.65397129116583
1,0.01,64,200,300,2,2,10,1484794.98853022,2601131471120.9897,1612802.3657971828,183.49382847993968
1,0.01,64,200,300,2,2,20,546120.6142376373,509459497954.9629,713764.315411581,140.96922185386978
1,0.01,64,200,300,2,3,10,4795959.201291209,25360652912467.89,5035936.150555117,988.8239416128076
1,0.01,64,200,300,2,3,20,6642432.197513736,47584829173397.484,6898175.785915975,1402.9959842886558
1,0.01,64,200,300,3,2,10,1002728.9046222528,1483570950798.8613,1218019.2735744624,66.75265892791337
1,0.01,64,200,300,3,2,20,1293161.8990041208,2348733887334.482,1532557.955620107,112.50528027429255
1,0.01,64,200,300,3,3,10,4455868.386043956,21545487532996.18,4641711.702916951,841.1957122311156
1,0.01,64,200,300,3,3,20,3915736.1815453297,17743002073833.848,4212244.303673974,679.0104760064955
1,0.01,64,300,200,2,2,10,1051017.0400755496,1654213964780.8647,1286162.4954805924,59.842797932216754
1,0.01,64,300,200,2,2,20,1417874.8312431318,2425068182297.8076,1557263.0421023315,292.61044046259485
1,0.01,64,300,200,2,3,10,1589705.0426304943,3038310723660.0933,1743075.0768857012,267.0366971317926
1,0.01,64,300,200,2,3,20,3006018.835906593,10203337053427.535,3194266.2777901804,567.9458583336528
1,0.01,64,300,200,3,2,10,956659.3667651099,1224344531697.5947,1106501.0310422645,58.66099529331944
1,0.01,64,300,200,3,2,20,816548.0817513736,1017705638766.8667,1008813.9762943744,56.51450326241423
1,0.01,64,300,200,3,3,10,2963626.7370054945,9733430228826.266,3119844.584082077,640.6039520260515
1,0.01,64,300,200,3,3,20,3840544.7256730767,15793660407974.17,3974123.854131143,662.7419709187114
1,0.01,64,300,300,2,2,10,1150149.1272046703,1881922677302.05,1371831.8691815152,107.74424128359522
1,0.01,64,300,300,2,2,20,1155285.9612637365,2140162517292.838,1462929.4300453586,83.03605483911728
1,0.01,64,300,300,2,3,10,5256585.326978022,30305746306648.164,5505065.513383848,1092.98844691893
1,0.01,64,300,300,2,3,20,4389619.600673077,20962939864744.918,4578530.317115408,779.6059826856196
1,0.01,64,300,300,3,2,10,1075027.8333241758,1817340097552.1455,1348087.5704315894,103.07661332166246
1,0.01,64,300,300,3,2,20,766055.9945604397,902874303907.1792,950196.9816344288,219.3610749662772
1,0.01,64,300,300,3,3,10,5490831.751085165,32744675919982.848,5722296.385192124,1041.020717282041
1,0.01,64,300,300,3,3,20,5532771.16385989,33645142254774.78,5800443.280885934,1209.459285115141
2,0.001,32,200,200,2,2,10,564905.1640934065,593701137403.1594,770520.0434791812,223.55349843214444
2,0.001,32,200,200,2,2,20,557840.1521428571,576262044574.8513,759119.2558319485,69.13517358630679
2,0.001,32,200,200,2,3,10,621266.4387431318,709494459541.2155,842314.9408274885,151.69521715503006
2,0.001,32,200,200,2,3,20,602595.5478434066,671445447639.4032,819417.7491605873,174.64987469683152
2,0.001,32,200,200,3,2,10,553403.1236675824,566613749040.7533,752737.5034105537,214.4833748888304
2,0.001,32,200,200,3,2,20,531809.086407967,526213853564.8501,725405.9922311436,197.21818817782832
2,0.001,32,200,200,3,3,10,603346.4506868132,686550925228.9581,828583.6863159678,132.89593619343955
2,0.001,32,200,200,3,3,20,599872.6443887362,664338980135.1538,815069.9234637197,192.22618903013648
2,0.001,32,200,300,2,2,10,557500.4010645605,558333492616.837,747217.1656331491,219.52410806928376
2,0.001,32,200,300,2,2,20,527021.2269162087,530088742255.2152,728071.9348081035,161.16293803778314
2,0.001,32,200,300,2,3,10,623240.2882211538,704362932531.7687,839263.3272887411,132.4150104905417
2,0.001,32,200,300,2,3,20,630492.7866964285,695061848510.5079,833703.6934729916,105.50124967705348
2,0.001,32,200,300,3,2,10,576178.9027472527,612130308127.767,782387.5690013019,170.97537413767978
2,0.001,32,200,300,3,2,20,557804.2076923075,572039843064.2137,756333.1561317497,161.1406882040977
2,0.001,32,200,300,3,3,10,643489.5187087912,745246734506.7773,863276.7427116159,139.3589770116069
2,0.001,32,200,300,3,3,20,617949.5998557692,680974093056.9258,825211.5444278066,119.46024518101895
2,0.001,32,300,200,2,2,10,577191.5517788462,624697551566.7886,790378.1067101926,207.13785078931068
2,0.001,32,300,200,2,2,20,552409.9676854395,564459737617.4246,751305.3557758154,122.15770712527765
2,0.001,32,300,200,2,3,10,618201.9375412087,704483009611.5082,839334.8614298754,136.6072425582754
2,0.001,32,300,200,2,3,20,625351.6216140109,712775605135.948,844260.3894154623,107.36243075297469
2,0.001,32,300,200,3,2,10,526281.6965659341,540215167962.3434,734993.3115085765,264.74519706873394
2,0.001,32,300,200,3,2,20,553691.5553228022,577514846943.9857,759943.9761877094,163.7142562772113
2,0.001,32,300,200,3,3,10,621653.7736263735,712806311958.9849,844278.5748548786,145.82515626314
2,0.001,32,300,200,3,3,20,587816.8724038461,635370837851.9851,797101.5229266502,167.19466609809942
2,0.001,32,300,300,2,2,10,602901.4548489011,662119622904.7496,813707.3324634292,165.46941941468359
2,0.001,32,300,300,2,2,20,565556.0753914835,576551289140.9346,759309.7451902843,132.66970757340158
2,0.001,32,300,300,2,3,10,640089.804271978,723654123954.63,850678.6255423549,126.13386726928329
2,0.001,32,300,300,2,3,20,609935.4962774726,672863253016.7299,820282.4227159387,139.3683685868839
2,0.001,32,300,300,3,2,10,583292.0997252747,637153980278.8419,798219.2557680139,165.54573899786445
2,0.001,32,300,300,3,2,20,536909.0178021977,562788619239.4437,750192.3881508288,120.58724367605294
2,0.001,32,300,300,3,3,10,646038.40510989,728925981868.4594,853771.621611107,143.70542201105116
2,0.001,32,300,300,3,3,20,631616.5499793956,708660291150.161,841819.6310078312,112.28748953000289
2,0.001,64,200,200,2,2,10,564905.1640934065,593701137403.1594,770520.0434791812,223.55349843214444
2,0.001,64,200,200,2,2,20,557840.1521428571,576262044574.8513,759119.2558319485,69.13517358630679
2,0.001,64,200,200,2,3,10,621266.4387431318,709494459541.2155,842314.9408274885,151.69521715503006
2,0.001,64,200,200,2,3,20,602595.5478434066,671445447639.4032,819417.7491605873,174.64987469683152
2,0.001,64,200,200,3,2,10,553403.1236675824,566613749040.7533,752737.5034105537,214.4833748888304
2,0.001,64,200,200,3,2,20,531809.086407967,526213853564.8501,725405.9922311436,197.21818817782832
2,0.001,64,200,200,3,3,10,603346.4506868132,686550925228.9581,828583.6863159678,132.89593619343955
2,0.001,64,200,200,3,3,20,599872.6443887362,664338980135.1538,815069.9234637197,192.22618903013648
2,0.001,64,200,300,2,2,10,557500.4010645605,558333492616.837,747217.1656331491,219.52410806928376
2,0.001,64,200,300,2,2,20,527021.2269162087,530088742255.2152,728071.9348081035,161.16293803778314
2,0.001,64,200,300,2,3,10,623240.2882211538,704362932531.7687,839263.3272887411,132.4150104905417
2,0.001,64,200,300,2,3,20,630492.7866964285,695061848510.5079,833703.6934729916,105.50124967705348
2,0.001,64,200,300,3,2,10,576178.9027472527,612130308127.767,782387.5690013019,170.97537413767978
2,0.001,64,200,300,3,2,20,557804.2076923075,572039843064.2137,756333.1561317497,161.1406882040977
2,0.001,64,200,300,3,3,10,643489.5187087912,745246734506.7773,863276.7427116159,139.3589770116069
2,0.001,64,200,300,3,3,20,617949.5998557692,680974093056.9258,825211.5444278066,119.46024518101895
2,0.001,64,300,200,2,2,10,577191.5517788462,624697551566.7886,790378.1067101926,207.13785078931068
2,0.001,64,300,200,2,2,20,552409.9676854395,564459737617.4246,751305.3557758154,122.15770712527765
2,0.001,64,300,200,2,3,10,618201.9375412087,704483009611.5082,839334.8614298754,136.6072425582754
2,0.001,64,300,200,2,3,20,625351.6216140109,712775605135.948,844260.3894154623,107.36243075297469
2,0.001,64,300,200,3,2,10,526281.6965659341,540215167962.3434,734993.3115085765,264.74519706873394
2,0.001,64,300,200,3,2,20,553691.5553228022,577514846943.9857,759943.9761877094,163.7142562772113
2,0.001,64,300,200,3,3,10,621653.7736263735,712806311958.9849,844278.5748548786,145.82515626314
2,0.001,64,300,200,3,3,20,587816.8724038461,635370837851.9851,797101.5229266502,167.19466609809942
2,0.001,64,300,300,2,2,10,602901.4548489011,662119622904.7496,813707.3324634292,165.46941941468359
2,0.001,64,300,300,2,2,20,565556.0753914835,576551289140.9346,759309.7451902843,132.66970757340158
2,0.001,64,300,300,2,3,10,640089.804271978,723654123954.63,850678.6255423549,126.13386726928329
2,0.001,64,300,300,2,3,20,609935.4962774726,672863253016.7299,820282.4227159387,139.3683685868839
2,0.001,64,300,300,3,2,10,583292.0997252747,637153980278.8419,798219.2557680139,165.54573899786445
2,0.001,64,300,300,3,2,20,536909.0178021977,562788619239.4437,750192.3881508288,120.58724367605294
2,0.001,64,300,300,3,3,10,646038.40510989,728925981868.4594,853771.621611107,143.70542201105116
2,0.001,64,300,300,3,3,20,631616.5499793956,708660291150.161,841819.6310078312,112.28748953000289
2,0.01,32,200,200,2,2,10,636097.8316620879,682139201459.3816,825917.1880154703,279.0528323796321
2,0.01,32,200,200,2,2,20,1290364.8941071427,2257357656833.037,1502450.5505450212,157.9109117462305
2,0.01,32,200,200,2,3,10,449221.6591071428,382102218904.0488,618144.1732347307,299.4769422897987
2,0.01,32,200,200,2,3,20,694376.3326304945,843850833338.6498,918613.538621465,180.0689469904085
2,0.01,32,200,200,3,2,10,478119.1327129121,428036243374.40485,654244.7885725991,148.28960866188353
2,0.01,32,200,200,3,2,20,1568890.391401099,3357016470788.782,1832216.2729298042,340.9431671401037
2,0.01,32,200,200,3,3,10,1053226.1243131869,1387584294101.8289,1177957.679249059,397.5490721154881
2,0.01,32,200,200,3,3,20,3557122.618296704,13946667016676.129,3734523.666637571,767.469864071868
2,0.01,32,200,300,2,2,10,682231.9882554946,734563502080.1471,857066.801410571,226.59439289045986
2,0.01,32,200,300,2,2,20,2523235.0843818677,7703299138421.999,2775481.784919872,533.6977860126553
2,0.01,32,200,300,2,3,10,428089.44885302195,388661816668.5601,623427.4750671164,195.9716796417483
2,0.01,32,200,300,2,3,20,840992.8871085165,1115165262355.267,1056013.8551909567,100.45778582061335
2,0.01,32,200,300,3,2,10,985981.9748076922,1446178479338.1824,1202571.6108981546,315.6294039160406
2,0.01,32,200,300,3,2,20,1290931.0954395605,2813227261402.5054,1677267.7965675325,616.8309990181481
2,0.01,32,200,300,3,3,10,612892.5817994506,683318192694.334,826630.6265160601,128.4485216126897
2,0.01,32,200,300,3,3,20,1408045.7548351649,2694828684714.4663,1641593.3371923957,697.7527539083624
2,0.01,32,300,200,2,2,10,685004.5821222527,812031487692.4507,901127.8975220169,308.6215372540747
2,0.01,32,300,200,2,2,20,665763.1441277472,730296849778.6622,854574.0750681957,232.88331962334135
2,0.01,32,300,200,2,3,10,1041274.5588049451,1412404655687.3806,1188446.320069771,359.2828116080947
2,0.01,32,300,200,2,3,20,538839.5158791209,523064054165.9042,723231.673923304,250.84587551646473
2,0.01,32,300,200,3,2,10,647450.6703434066,688120522728.602,829530.3024776141,205.95592026877915
2,0.01,32,300,200,3,2,20,1679439.475673077,3465516435487.4707,1861589.760255323,336.99479228797145
2,0.01,32,300,200,3,3,10,530736.8222321428,562513172097.7574,750008.7813470969,126.96324799193468
2,0.01,32,300,200,3,3,20,797049.1378846153,1081350797243.5837,1039880.184080639,120.59673466195507
2,0.01,32,300,300,2,2,10,919485.4293681318,1279017476610.8374,1130936.5484459496,367.73714804208436
2,0.01,32,300,300,2,2,20,2139455.724505495,6467893535898.615,2543205.366441848,669.8016586131831
2,0.01,32,300,300,2,3,10,571526.8470054945,589357072595.3372,767695.9506180406,141.73908210941252
2,0.01,32,300,300,2,3,20,865820.3743131869,1106108080564.3772,1051716.7301913463,486.6404504885657
2,0.01,32,300,300,3,2,10,1121592.1845192306,2031481131475.715,1425300.365353112,447.2380249147329
2,0.01,32,300,300,3,2,20,1925026.5257486263,4673700452938.239,2161874.291659494,173.53322378757156
2,0.01,32,300,300,3,3,10,724724.1909134616,893225200143.5303,945105.9200658571,97.31283097557207
2,0.01,32,300,300,3,3,20,612796.7950824175,689514931978.2378,830370.3583210553,164.95132423685945
2,0.01,64,200,200,2,2,10,636097.8316620879,682139201459.3816,825917.1880154703,279.0528323796321
2,0.01,64,200,200,2,2,20,1290364.8941071427,2257357656833.037,1502450.5505450212,157.9109117462305
2,0.01,64,200,200,2,3,10,449221.6591071428,382102218904.0488,618144.1732347307,299.4769422897987
2,0.01,64,200,200,2,3,20,694376.3326304945,843850833338.6498,918613.538621465,180.0689469904085
2,0.01,64,200,200,3,2,10,478119.1327129121,428036243374.40485,654244.7885725991,148.28960866188353
2,0.01,64,200,200,3,2,20,1568890.391401099,3357016470788.782,1832216.2729298042,340.9431671401037
2,0.01,64,200,200,3,3,10,1053226.1243131869,1387584294101.8289,1177957.679249059,397.5490721154881
2,0.01,64,200,200,3,3,20,3557122.618296704,13946667016676.129,3734523.666637571,767.469864071868
2,0.01,64,200,300,2,2,10,682231.9882554946,734563502080.1471,857066.801410571,226.59439289045986
2,0.01,64,200,300,2,2,20,2523235.0843818677,7703299138421.999,2775481.784919872,533.6977860126553
2,0.01,64,200,300,2,3,10,428089.44885302195,388661816668.5601,623427.4750671164,195.9716796417483
2,0.01,64,200,300,2,3,20,840992.8871085165,1115165262355.267,1056013.8551909567,100.45778582061335
2,0.01,64,200,300,3,2,10,985981.9748076922,1446178479338.1824,1202571.6108981546,315.6294039160406
2,0.01,64,200,300,3,2,20,1290931.0954395605,2813227261402.5054,1677267.7965675325,616.8309990181481
2,0.01,64,200,300,3,3,10,612892.5817994506,683318192694.334,826630.6265160601,128.4485216126897
2,0.01,64,200,300,3,3,20,1408045.7548351649,2694828684714.4663,1641593.3371923957,697.7527539083624
2,0.01,64,300,200,2,2,10,685004.5821222527,812031487692.4507,901127.8975220169,308.6215372540747
2,0.01,64,300,200,2,2,20,665763.1441277472,730296849778.6622,854574.0750681957,232.88331962334135
2,0.01,64,300,200,2,3,10,1041274.5588049451,1412404655687.3806,1188446.320069771,359.2828116080947
2,0.01,64,300,200,2,3,20,538839.5158791209,523064054165.9042,723231.673923304,250.84587551646473
2,0.01,64,300,200,3,2,10,647450.6703434066,688120522728.602,829530.3024776141,205.95592026877915
2,0.01,64,300,200,3,2,20,1679439.475673077,3465516435487.4707,1861589.760255323,336.99479228797145
2,0.01,64,300,200,3,3,10,530736.8222321428,562513172097.7574,750008.7813470969,126.96324799193468
2,0.01,64,300,200,3,3,20,797049.1378846153,1081350797243.5837,1039880.184080639,120.59673466195507
2,0.01,64,300,300,2,2,10,919485.4293681318,1279017476610.8374,1130936.5484459496,367.73714804208436
2,0.01,64,300,300,2,2,20,2139455.724505495,6467893535898.615,2543205.366441848,669.8016586131831
2,0.01,64,300,300,2,3,10,571526.8470054945,589357072595.3372,767695.9506180406,141.73908210941252
2,0.01,64,300,300,2,3,20,865820.3743131869,1106108080564.3772,1051716.7301913463,486.6404504885657
2,0.01,64,300,300,3,2,10,1121592.1845192306,2031481131475.715,1425300.365353112,447.2380249147329
2,0.01,64,300,300,3,2,20,1925026.5257486263,4673700452938.239,2161874.291659494,173.53322378757156
2,0.01,64,300,300,3,3,10,724724.1909134616,893225200143.5303,945105.9200658571,97.31283097557207
2,0.01,64,300,300,3,3,20,612796.7950824175,689514931978.2378,830370.3583210553,164.95132423685945
